"date","ticker","open","high","low","close","volume","adjusted"
2024-07-27,"ADA",0.417746007442474,0.428685009479523,0.414101004600525,0.418197989463806,430162296,0.418197989463806
2024-07-28,"ADA",0.418195009231567,0.420287013053894,0.405600011348724,0.407386988401413,261455853,0.407386988401413
2024-07-29,"ADA",0.407386988401413,0.426436990499496,0.403782993555069,0.404013991355896,328634235,0.404013991355896
2024-07-30,"ADA",0.404008001089096,0.406976997852325,0.396082013845444,0.401679992675781,277821308,0.401679992675781
2024-07-31,"ADA",0.401677012443542,0.407400995492935,0.387959986925125,0.388772994279861,282132846,0.388772994279861
2024-08-01,"ADA",0.388774007558823,0.395074993371964,0.369996011257172,0.392706006765366,348062632,0.392706006765366
2024-08-02,"ADA",0.392706006765366,0.394262999296188,0.360289007425308,0.363822013139725,391092412,0.363822013139725
2024-08-03,"ADA",0.363822013139725,0.372483998537064,0.350349992513657,0.364095002412796,309403901,0.364095002412796
2024-08-04,"ADA",0.364105999469757,0.366993010044098,0.335568994283676,0.343937993049622,317908629,0.343937993049622
2024-08-05,"ADA",0.343937993049622,0.345468997955322,0.27988600730896,0.313154995441437,1211794401,0.313154995441437
2024-08-06,"ADA",0.313156008720398,0.336140006780624,0.312514990568161,0.330781996250153,401715322,0.330781996250153
2024-08-07,"ADA",0.330781996250153,0.340582013130188,0.317070990800858,0.32369801402092,346795316,0.32369801402092
2024-08-08,"ADA",0.323700994253159,0.353062987327576,0.320317000150681,0.35181400179863,326623648,0.35181400179863
2024-08-09,"ADA",0.35181400179863,0.353870004415512,0.337507992982864,0.348547011613846,275869404,0.348547011613846
2024-08-10,"ADA",0.348547011613846,0.351765006780624,0.345272988080978,0.34628900885582,155114866,0.34628900885582
2024-08-11,"ADA",0.346291989088058,0.356274992227554,0.328036993741989,0.328321993350983,203353395,0.328321993350983
2024-08-12,"ADA",0.328319013118744,0.343977987766266,0.328052014112473,0.338977009057999,276146893,0.338977009057999
2024-08-13,"ADA",0.338977009057999,0.344655990600586,0.331889986991882,0.340153992176056,208538494,0.340153992176056
2024-08-14,"ADA",0.340146005153656,0.345194011926651,0.332437008619308,0.335455000400543,206602286,0.335455000400543
2024-08-15,"ADA",0.335456013679504,0.341367989778519,0.321483999490738,0.325352996587753,243240095,0.325352996587753
2024-08-16,"ADA",0.325352996587753,0.344953000545502,0.321018993854523,0.330471992492676,333621595,0.330471992492676
2024-08-17,"ADA",0.330471992492676,0.338604003190994,0.328514993190765,0.336885988712311,164578014,0.336885988712311
2024-08-18,"ADA",0.336887001991272,0.339598000049591,0.333795994520187,0.33483099937439,147715225,0.33483099937439
2024-08-19,"ADA",0.33483099937439,0.33754500746727,0.328842014074326,0.336753010749817,205948260,0.336753010749817
2024-08-20,"ADA",0.3367840051651,0.348154008388519,0.336232006549835,0.343685001134872,232812455,0.343685001134872
2024-08-21,"ADA",0.343685001134872,0.377265989780426,0.343477994203568,0.36905899643898,369934783,0.36905899643898
2024-08-22,"ADA",0.369060009717941,0.377193987369537,0.364739000797272,0.376536011695862,253221746,0.376536011695862
2024-08-23,"ADA",0.376538008451462,0.392282992601395,0.374217003583908,0.391535997390747,360713833,0.391535997390747
2024-08-24,"ADA",0.391526013612747,0.401176989078522,0.388484001159668,0.394006997346878,259095804,0.394006997346878
2024-08-25,"ADA",0.394010007381439,0.394026011228561,0.378711998462677,0.384979009628296,271365361,0.384979009628296
2024-08-26,"ADA",0.384975999593735,0.387676000595093,0.366955012083054,0.366957008838654,288310031,0.366957008838654
2024-08-27,"ADA",0.366952002048492,0.372491002082825,0.346269011497498,0.350511014461517,307613758,0.350511014461517
2024-08-28,"ADA",0.350511014461517,0.360188990831375,0.342029988765717,0.350192010402679,316985233,0.350192010402679
2024-08-29,"ADA",0.350190997123718,0.367354989051819,0.34987199306488,0.357041001319885,263189476,0.357041001319885
2024-08-30,"ADA",0.357048988342285,0.361580014228821,0.338822990655899,0.3471539914608,297382538,0.3471539914608
2024-08-31,"ADA",0.3471539914608,0.35011500120163,0.345037013292313,0.345351994037628,120909139,0.345351994037628
2024-09-01,"ADA",0.345351010560989,0.345634013414383,0.328862011432648,0.331739991903305,212136963,0.331739991903305
2024-09-02,"ADA",0.331739991903305,0.336962014436722,0.325704991817474,0.335967987775803,232651288,0.335967987775803
2024-09-03,"ADA",0.335965991020203,0.339408993721008,0.318551003932953,0.318551003932953,228558971,0.318551003932953
2024-09-04,"ADA",0.318544000387192,0.329102009534836,0.308293014764786,0.323523998260498,320645799,0.323523998260498
2024-09-05,"ADA",0.323523998260498,0.339150995016098,0.320172995328903,0.32506200671196,302516707,0.32506200671196
2024-09-06,"ADA",0.32506200671196,0.331321001052856,0.305103987455368,0.314718008041382,341107574,0.314718008041382
2024-09-07,"ADA",0.314718991518021,0.327619999647141,0.314713001251221,0.325073003768921,171441808,0.325073003768921
2024-09-08,"ADA",0.325071007013321,0.340580999851227,0.324164003133774,0.3386589884758,212278974,0.3386589884758
2024-09-09,"ADA",0.338654011487961,0.348381996154785,0.338514000177383,0.343405991792679,257206648,0.343405991792679
2024-09-10,"ADA",0.343405991792679,0.345436990261078,0.337873011827469,0.343477010726929,186507920,0.343477010726929
2024-09-11,"ADA",0.343477010726929,0.356424987316132,0.33050599694252,0.353053987026215,263880950,0.353053987026215
2024-09-12,"ADA",0.353053987026215,0.360462993383408,0.352780014276505,0.356292992830276,256108848,0.356292992830276
2024-09-13,"ADA",0.356292992830276,0.364547997713089,0.350782006978989,0.360900014638901,222228805,0.360900014638901
2024-09-14,"ADA",0.360900014638901,0.36175400018692,0.352568000555038,0.354479998350143,160253934,0.354479998350143
2024-09-15,"ADA",0.354479998350143,0.355996996164322,0.335721999406815,0.338523000478745,195851407,0.338523000478745
2024-09-16,"ADA",0.338524013757706,0.338546007871628,0.326967000961304,0.330305993556976,211465289,0.330305993556976
2024-09-17,"ADA",0.330305010080338,0.342837989330292,0.328896999359131,0.333912998437881,209019175,0.333912998437881
2024-09-18,"ADA",0.333912998437881,0.342936009168625,0.328085005283356,0.342936009168625,254109953,0.342936009168625
2024-09-19,"ADA",0.342938989400864,0.356166988611221,0.342938989400864,0.350944995880127,297282683,0.350944995880127
2024-09-20,"ADA",0.350946009159088,0.360931009054184,0.349519997835159,0.352113991975784,245398498,0.352113991975784
2024-09-21,"ADA",0.352113008499146,0.35955598950386,0.351078003644943,0.358575999736786,155658003,0.358575999736786
2024-09-22,"ADA",0.358594000339508,0.359062999486923,0.343733012676239,0.351772010326385,176346122,0.351772010326385
2024-09-23,"ADA",0.351772010326385,0.365220010280609,0.347137987613678,0.363730996847153,260276216,0.363730996847153
2024-09-24,"ADA",0.363734990358353,0.39121800661087,0.358972012996674,0.38773301243782,329591997,0.38773301243782
2024-09-25,"ADA",0.387731999158859,0.392982006072998,0.379393994808197,0.381083011627197,280504960,0.381083011627197
2024-09-26,"ADA",0.381083011627197,0.403322994709015,0.378771990537643,0.401881992816925,352325723,0.401881992816925
2024-09-27,"ADA",0.401881009340286,0.414669007062912,0.400440990924835,0.402328014373779,316360073,0.402328014373779
2024-09-28,"ADA",0.402323991060257,0.405638992786407,0.393579989671707,0.401051998138428,205321418,0.401051998138428
2024-09-29,"ADA",0.401051014661789,0.40395000576973,0.393626004457474,0.3975969851017,190459764,0.3975969851017
2024-09-30,"ADA",0.397599995136261,0.397621005773544,0.371829003095627,0.37321400642395,278179362,0.37321400642395
2024-10-01,"ADA",0.37321400642395,0.385675013065338,0.347330987453461,0.352441012859344,440800413,0.352441012859344
2024-10-02,"ADA",0.352441996335983,0.362120985984802,0.336627006530762,0.344004988670349,346156714,0.344004988670349
2024-10-03,"ADA",0.343988001346588,0.349249005317688,0.333254992961884,0.345236986875534,314859654,0.345236986875534
2024-10-04,"ADA",0.345236986875534,0.355605006217957,0.343380987644196,0.35139799118042,229796454,0.35139799118042
2024-10-05,"ADA",0.35139799118042,0.35547798871994,0.345981985330582,0.3507199883461,149913415,0.3507199883461
2024-10-06,"ADA",0.3507199883461,0.358202993869781,0.348352998495102,0.357230007648468,151061108,0.357230007648468
2024-10-07,"ADA",0.357230007648468,0.367677003145218,0.351054012775421,0.35146701335907,260641174,0.35146701335907
2024-10-08,"ADA",0.35146701335907,0.356541991233826,0.34162101149559,0.34451699256897,225110180,0.34451699256897
2024-10-09,"ADA",0.34451699256897,0.347523003816605,0.334500998258591,0.339702010154724,220051874,0.339702010154724
